Read times - Voltage  graph;Voltage(V) - Voltage  graph;Read times - Current graph;Current(A) - Current graph;;;;
653;5,114;653;0,3226;;;;
654;5,114;654;0,3226;;;;
655;5,114;655;0,3257;;;;
656;5,113;656;0,3257;;;;
657;5,113;657;0,3245;;;;
658;5,113;658;0,3245;;;;
659;5,113;659;0,3275;;;;
660;5,113;660;0,3275;;;;
661;5,113;661;0,3247;;;;
662;5,114;662;0,3247;;;;
663;5,114;663;0,3271;;;;
664;5,113;664;0,3271;;;;
665;5,113;665;0,3253;;;;
666;5,118;666;0,3253;;;;
667;5,118;667;0,3071;;;;
668;5,117;668;0,3071;;;;
669;5,117;669;0,3059;;;;
670;5,114;670;0,3059;;;;
671;5,114;671;0,3249;;;;
672;5,112;672;0,3249;;;;
673;5,112;673;0,3234;;;;
674;5,112;674;0,3234;;;;
675;5,112;675;0,3269;;;;
676;5,112;676;0,3269;;;;
677;5,112;677;0,3245;;;;
678;5,113;678;0,3245;;;;
679;5,113;679;0,3267;;;;
680;5,112;680;0,3267;;;;
681;5,112;681;0,3251;;;;
682;5,113;682;0,3251;;;;
683;5,113;683;0,3267;;;;
684;5,116;684;0,3267;;;;
685;5,116;685;0,3051;;;;
686;5,117;686;0,3051;;;;
687;5,117;687;0,3102;;;;
688;5,112;688;0,3102;;;;
689;5,112;689;0,3241;;;;
690;5,114;690;0,3241;;;;
691;5,114;691;0,3267;;;;
692;5,113;692;0,3267;;;;
693;5,113;693;0,3264;;;;
694;5,113;694;0,3264;;;;
695;5,113;695;0,3264;;;;
696;5,113;696;0,3264;;;;
697;5,113;697;0,3265;;;;
698;5,114;698;0,3265;;;;
699;5,114;699;0,3262;;;;
700;5,113;700;0,3262;;;;
701;5,113;701;0,3263;;;;
702;5,118;702;0,3263;;;;
703;5,118;703;0,3055;;;;
704;5,116;704;0,3055;;;;
705;5,116;705;0,3241;;;;
706;5,113;706;0,3241;;;;
707;5,113;707;0,3237;;;;
708;5,112;708;0,3237;;;;
709;5,112;709;0,3255;;;;
710;5,113;710;0,3255;;;;
711;5,113;711;0,3256;;;;
712;5,112;712;0,3256;;;;
713;5,112;713;0,3256;;;;
714;5,113;714;0,3256;;;;
715;5,113;715;0,3255;;;;
716;5,112;716;0,3255;;;;
717;5,112;717;0,3265;;;;
718;5,114;718;0,3265;;;;
719;5,114;719;0,323;;;;
720;5,117;720;0,323;;;;
721;5,117;721;0,3061;;;;
722;5,118;722;0,3061;;;;
723;5,118;723;0,3234;;;;
724;5,114;724;0,3234;;;;
725;5,114;725;0,3245;;;;
726;5,114;726;0,3245;;;;
727;5,114;727;0,3261;;;;
728;5,113;728;0,3261;;;;
729;5,113;729;0,3275;;;;
730;5,114;730;0,3275;;;;
731;5,114;731;0,3257;;;;
732;5,113;732;0,3257;;;;
733;5,113;733;0,3275;;;;
734;5,113;734;0,3275;;;;
735;5,113;735;0,3257;;;;
736;5,113;736;0,3257;;;;
737;5,113;737;0,3188;;;;
738;5,117;738;0,3188;;;;
739;5,117;739;0,3049;;;;
740;5,117;740;0,3049;;;;
741;5,117;741;0,3237;;;;
742;5,114;742;0,3237;;;;
743;5,114;743;0,3226;;;;
744;5,113;744;0,3226;;;;
745;5,113;745;0,3265;;;;
746;5,113;746;0,3265;;;;
747;5,113;747;0,3247;;;;
748;5,113;748;0,3247;;;;
749;5,113;749;0,3265;;;;
750;5,113;750;0,3265;;;;
751;5,113;751;0,3245;;;;
752;5,112;752;0,3245;;;;
753;5,112;753;0,3275;;;;
754;5,114;754;0,3275;;;;
755;5,114;755;0,3049;;;;
756;5,117;756;0,3049;;;;
757;5,117;757;0,3073;;;;
758;5,118;758;0,3073;;;;
759;5,118;759;0,3228;;;;
760;5,113;760;0,3228;;;;
761;5,113;761;0,3249;;;;
762;5,114;762;0,3249;;;;
763;5,114;763;0,3249;;;;
764;5,113;764;0,3249;;;;
765;5,113;765;0,3275;;;;
766;5,114;766;0,3275;;;;
767;5,114;767;0,3247;;;;
768;5,113;768;0,3247;;;;
769;5,113;769;0,3283;;;;
770;5,114;770;0,3283;;;;
771;5,114;771;0,3247;;;;
772;5,112;772;0,3247;;;;
773;5,112;773;0,3061;;;;
774;5,117;774;0,3061;;;;
775;5,117;775;0,3047;;;;
776;5,114;776;0,3047;;;;
777;5,114;777;0,3241;;;;
778;5,113;778;0,3241;;;;
779;5,113;779;0,3224;;;;
780;5,113;780;0,3224;;;;
781;5,113;781;0,3269;;;;
782;5,113;782;0,3269;;;;
783;5,113;783;0,3247;;;;
784;5,113;784;0,3247;;;;
785;5,113;785;0,3273;;;;
786;5,114;786;0,3273;;;;
787;5,114;787;0,3251;;;;
788;5,113;788;0,3251;;;;
789;5,113;789;0,3277;;;;
790;5,114;790;0,3277;;;;
791;5,114;791;0,3049;;;;
792;5,117;792;0,3049;;;;
793;5,117;793;0,3073;;;;
794;5,116;794;0,3073;;;;
795;5,116;795;0,323;;;;
796;5,114;796;0,323;;;;
797;5,114;797;0,3251;;;;
798;5,113;798;0,3251;;;;
799;5,113;799;0,3251;;;;
800;5,112;800;0,3251;;;;
801;5,112;801;0,3261;;;;
802;5,113;802;0,3261;;;;
803;5,113;803;0,3257;;;;
804;5,113;804;0,3257;;;;
805;5,113;805;0,3258;;;;
806;5,113;806;0,3258;;;;
807;5,113;807;0,3259;;;;
808;5,113;808;0,3259;;;;
809;5,113;809;0,3065;;;;
